contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
fast_kruskal, GNM, 0, 16384, 16384, 40, 1437658, yes
fast_kruskal, GNM, 1, 16384, 16384, 20, 1257406, yes
fast_kruskal, GNM, 2, 16384, 16384, 30, 1253635, yes
fast_kruskal, GNM, 3, 16384, 16384, 10, 1260026, yes
i_max_filter, GNM, 0, 16384, 16384, 20, 1655550, yes
i_max_filter, GNM, 1, 16384, 16384, 10, 1638060, yes
i_max_filter, GNM, 2, 16384, 16384, 20, 1634121, yes
i_max_filter, GNM, 3, 16384, 16384, 20, 1631291, yes
parallel_i_max_filter, GNM, 0, 16384, 16384, 20, 1656871, yes
parallel_i_max_filter, GNM, 1, 16384, 16384, 20, 1653301, yes
parallel_i_max_filter, GNM, 2, 16384, 16384, 20, 1677351, yes
parallel_i_max_filter, GNM, 3, 16384, 16384, 20, 1644970, yes
jarnik_prim, GNM, 0, 16384, 16384, 20, 1648682, yes
jarnik_prim, GNM, 1, 16384, 16384, 20, 1645410, yes
jarnik_prim, GNM, 2, 16384, 16384, 10, 1645060, yes
jarnik_prim, GNM, 3, 16384, 16384, 20, 1659150, yes
fast_kruskal, GNM, 0, 16384, 32768, 20, 2273449, yes
fast_kruskal, GNM, 1, 16384, 32768, 20, 2106106, yes
fast_kruskal, GNM, 2, 16384, 32768, 20, 2085576, yes
fast_kruskal, GNM, 3, 16384, 32768, 20, 2060336, yes
i_max_filter, GNM, 0, 16384, 32768, 20, 2417421, yes
i_max_filter, GNM, 1, 16384, 32768, 20, 2427151, yes
i_max_filter, GNM, 2, 16384, 32768, 20, 2412480, yes
i_max_filter, GNM, 3, 16384, 32768, 20, 2420981, yes
parallel_i_max_filter, GNM, 0, 16384, 32768, 20, 2380420, yes
parallel_i_max_filter, GNM, 1, 16384, 32768, 20, 2417050, yes
parallel_i_max_filter, GNM, 2, 16384, 32768, 20, 2425150, yes
parallel_i_max_filter, GNM, 3, 16384, 32768, 10, 2399250, yes
jarnik_prim, GNM, 0, 16384, 32768, 20, 2402900, yes
jarnik_prim, GNM, 1, 16384, 32768, 20, 2414730, yes
jarnik_prim, GNM, 2, 16384, 32768, 20, 2380620, yes
jarnik_prim, GNM, 3, 16384, 32768, 20, 2389499, yes
fast_kruskal, GNM, 0, 16384, 65536, 20, 4146512, yes
fast_kruskal, GNM, 1, 16384, 65536, 20, 3484463, yes
fast_kruskal, GNM, 2, 16384, 65536, 20, 3493183, yes
fast_kruskal, GNM, 3, 16384, 65536, 20, 3485754, yes
i_max_filter, GNM, 0, 16384, 65536, 20, 2951908, yes
i_max_filter, GNM, 1, 16384, 65536, 30, 2985047, yes
i_max_filter, GNM, 2, 16384, 65536, 20, 2956098, yes
i_max_filter, GNM, 3, 16384, 65536, 20, 2929387, yes
parallel_i_max_filter, GNM, 0, 16384, 65536, 20, 3041988, yes
parallel_i_max_filter, GNM, 1, 16384, 65536, 20, 3062888, yes
parallel_i_max_filter, GNM, 2, 16384, 65536, 20, 2975657, yes
parallel_i_max_filter, GNM, 3, 16384, 65536, 10, 2968177, yes
jarnik_prim, GNM, 0, 16384, 65536, 20, 3065588, yes
jarnik_prim, GNM, 1, 16384, 65536, 20, 2966387, yes
jarnik_prim, GNM, 2, 16384, 65536, 20, 2985467, yes
jarnik_prim, GNM, 3, 16384, 65536, 20, 2969697, yes
fast_kruskal, GNM, 0, 16384, 131072, 30, 7464973, yes
fast_kruskal, GNM, 1, 16384, 131072, 20, 7391812, yes
fast_kruskal, GNM, 2, 16384, 131072, 20, 7398563, yes
fast_kruskal, GNM, 3, 16384, 131072, 20, 7377684, yes
i_max_filter, GNM, 0, 16384, 131072, 20, 4211372, yes
i_max_filter, GNM, 1, 16384, 131072, 20, 4111501, yes
i_max_filter, GNM, 2, 16384, 131072, 20, 4188473, yes
i_max_filter, GNM, 3, 16384, 131072, 20, 4155191, yes
parallel_i_max_filter, GNM, 0, 16384, 131072, 20, 4099091, yes
parallel_i_max_filter, GNM, 1, 16384, 131072, 20, 4137472, yes
parallel_i_max_filter, GNM, 2, 16384, 131072, 20, 4105871, yes
parallel_i_max_filter, GNM, 3, 16384, 131072, 20, 4153162, yes
jarnik_prim, GNM, 0, 16384, 131072, 20, 4178033, yes
jarnik_prim, GNM, 1, 16384, 131072, 20, 4141542, yes
jarnik_prim, GNM, 2, 16384, 131072, 20, 4122272, yes
jarnik_prim, GNM, 3, 16384, 131072, 20, 4115701, yes
fast_kruskal, GNM, 0, 16384, 262144, 30, 14736864, yes
fast_kruskal, GNM, 1, 16384, 262144, 30, 15889169, yes
fast_kruskal, GNM, 2, 16384, 262144, 20, 15889680, yes
fast_kruskal, GNM, 3, 16384, 262144, 30, 16047992, yes
i_max_filter, GNM, 0, 16384, 262144, 20, 7577215, yes
i_max_filter, GNM, 1, 16384, 262144, 20, 7578965, yes
i_max_filter, GNM, 2, 16384, 262144, 20, 7539815, yes
i_max_filter, GNM, 3, 16384, 262144, 20, 7581225, yes
parallel_i_max_filter, GNM, 0, 16384, 262144, 20, 7616145, yes
parallel_i_max_filter, GNM, 1, 16384, 262144, 30, 6851415, yes
parallel_i_max_filter, GNM, 2, 16384, 262144, 20, 6849755, yes
parallel_i_max_filter, GNM, 3, 16384, 262144, 20, 6790055, yes
jarnik_prim, GNM, 0, 16384, 262144, 20, 6546832, yes
jarnik_prim, GNM, 1, 16384, 262144, 20, 6384410, yes
jarnik_prim, GNM, 2, 16384, 262144, 20, 6469661, yes
jarnik_prim, GNM, 3, 16384, 262144, 20, 6522142, yes
fast_kruskal, GNM, 0, 16384, 524288, 30, 30582024, yes
